id,eigenvector_mean,age,sex,asc,matriline
J16,0.01587394566083504,47,0,af,J16s
J19,0.054229995975606876,40,0,af,J19s
J22,0.05661545740384058,34,0,af,J22s
J26,0.06880535821433974,28,1,am,J16s
J27,0.04428443263656549,28,1,am,J11s
J31,0.15150940660174372,24,0,af,J11s
J35,0.27587896866484796,21,0,af,J17s
J36,0.08505361345302667,20,0,af,J16s
J37,0.265938441708262,18,0,af,J14s
J38,0.046727374613319196,16,1,am,J22s
J39,0.11777299918354003,16,1,am,J11s
J40,0.2788714574465356,15,0,af,J14s
J41,0.2902156309481098,14,0,af,J19s
J42,0.12017428158148549,12,0,af,J16s
J44,0.19529701108704536,10,1,im,J17s
J45,0.15888588462527578,10,1,im,J14s
J46,0.34946888260074727,10,0,im,J17s
J47,0.2594875375255331,9,1,im,J17s
J49,0.2599903228403802,7,1,im,J14s
J51,0.2119312041982277,4,1,im,J19s
J53,0.3708822638161963,4,0,im,J17s
J56,0.27570333956521753,0,0,im,J11s
