"id","age","sex","asc","matriline"
"J40",15,0,"af","J14s"
"J45",10,1,"im","J14s"
"J31",24,0,"af","J11s"
"J35",21,0,"af","J17s"
"J39",16,1,"am","J11s"
"J44",10,1,"im","J17s"
"J53",4,0,"im","J17s"
"J56",0,0,"im","J11s"
"J47",9,1,"im","J17s"
"J26",28,1,"am","J16s"
"J37",18,0,"af","J14s"
"J38",16,1,"am","J22s"
"J41",14,0,"af","J19s"
"J46",10,0,"im","J17s"
"J49",7,1,"im","J14s"
"J42",12,0,"af","J16s"
"J22",34,0,"af","J22s"
"J27",28,1,"am","J11s"
"J19",40,0,"af","J19s"
"J51",4,1,"im","J19s"
"J16",47,0,"af","J16s"
"J36",20,0,"af","J16s"
