"J40","J45","J31","J35","J39","J44","J53","J56","J47","J26","J37","J38","J41","J46","J49","J42","J22","J27","J19","J51","J16","J36"
0,2,9,12,0,0,13,22,2,0,13,0,8,24,2,1,6,0,0,0,0,0
2,0,0,0,14,4,15,0,13,3,0,2,0,0,3,0,0,0,0,2,0,0
9,0,0,2,3,0,0,65,0,0,0,1,0,9,0,0,0,2,0,0,0,0
12,0,2,0,0,4,8,3,27,0,28,0,12,4,2,0,2,0,0,0,0,1
0,14,3,0,0,0,0,2,7,2,0,1,0,0,6,0,0,1,4,5,0,0
0,4,0,4,0,0,31,0,12,0,0,0,0,19,1,0,0,0,0,3,0,1
13,15,0,8,0,31,0,20,12,0,1,0,3,70,11,1,0,0,0,5,0,0
22,0,65,3,2,0,20,0,1,0,0,0,1,23,0,0,0,1,0,3,0,0
2,13,0,27,7,12,12,1,0,1,0,0,0,9,5,0,0,0,0,1,0,9
0,3,0,0,2,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,4
13,0,0,28,0,0,1,0,0,5,0,0,34,1,34,1,0,0,0,2,0,0
0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0
8,0,0,12,0,0,3,1,0,0,34,0,0,4,7,0,0,0,9,42,0,0
24,0,9,4,0,19,70,23,9,0,1,0,4,0,12,2,0,0,0,0,0,0
2,3,0,2,6,1,11,0,5,0,34,0,7,12,0,0,0,0,0,12,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,6,9
6,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0
0,2,0,0,5,3,5,3,1,0,2,0,42,0,12,0,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3
0,0,0,1,0,1,0,0,9,4,0,0,0,0,0,9,0,0,0,1,3,0
